Time_Index,natural_gas,nuclear,solar_pv,distributed_solar,onshore_wind,offshore_wind,battery,clean_firm,coal,hydro
339,1,1,0,0,0.8289,0.8237,1,1,1,0.8521
340,1,1,0,0,0.7825,1,1,1,1,0.8431
341,1,1,0,0,0.7706,1,1,1,1,0.8494
342,1,1,0,0,0.7993,1,1,1,1,0.9098
343,1,1,0,0,0.7713,1,1,1,1,0.8981
344,1,1,0,0,0.7932,1,1,1,1,0.9580
345,1,1,0.2904,0.2074,0.7114,1,1,1,1,0.8107
346,1,1,0.6304,0.4503,0.6857,1,1,1,1,0.4253
347,1,1,0.8714,0.6224,0.664,1,1,1,1,0.2427
348,1,1,1,0.7268,0.6506,1,1,1,1,0.2136
349,1,1,1,0.7427,0.6874,1,1,1,1,0.1979
350,1,1,1,0.7348,0.7166,1,1,1,1,0.2274
351,1,1,0.9281,0.6629,0.7163,1,1,1,1,0.2962
352,1,1,0.7092,0.5066,0.7422,1,1,1,1,0.3998
353,1,1,0.3966,0.2833,0.7653,1,1,1,1,0.4709
354,1,1,0,0,0.7464,1,1,1,1,0.4804
355,1,1,0,0,0.7351,1,1,1,1,0.4809
356,1,1,0,0,0.744,1,1,1,1,0.4714
357,1,1,0,0,0.6907,1,1,1,1,0.4521
358,1,1,0,0,0.6019,1,1,1,1,0.4086
359,1,1,0,0,0.5796,1,1,1,1,0.4129
360,1,1,0,0,0.6252,1,1,1,1,0.3470
361,1,1,0,0,0.6945,1,1,1,1,0.7734
362,1,1,0,0,0.7479,1,1,1,1,0.8458
363,1,1,0,0,0.6833,0.9135,1,1,1,0.8521
364,1,1,0,0,0.6384,0.6519,1,1,1,0.8431
365,1,1,0,0,0.5035,0.416,1,1,1,0.8494
366,1,1,0,0,0.4517,0.2716,1,1,1,0.9098
367,1,1,0,0,0.3922,0.0661,1,1,1,0.8981
368,1,1,0,0,0.4136,0.002,1,1,1,0.9580
369,1,1,0.2853,0.2038,0.4314,0.0003,1,1,1,0.8107
370,1,1,0.6083,0.4345,0.5247,0,1,1,1,0.4253
371,1,1,0.8152,0.5823,0.5264,0,1,1,1,0.2427
372,1,1,0.9516,0.6797,0.576,0.0103,1,1,1,0.2136
373,1,1,0.9646,0.689,0.6686,0.1181,1,1,1,0.1979
374,1,1,0.9328,0.6663,0.8078,0.3417,1,1,1,0.2274
375,1,1,0.8478,0.6056,0.898,0.7048,1,1,1,0.2962
376,1,1,0.6723,0.4802,0.9667,0.884,1,1,1,0.3998
377,1,1,0.3599,0.2571,0.9886,0.9619,1,1,1,0.4709
378,1,1,0,0,0.9983,1,1,1,1,0.4804
379,1,1,0,0,0.9988,1,1,1,1,0.4809
380,1,1,0,0,0.9906,1,1,1,1,0.4714
381,1,1,0,0,0.505,1,1,1,1,0.4521
382,1,1,0,0,0.9567,1,1,1,1,0.4086
383,1,1,0,0,0.8555,1,1,1,1,0.4129
384,1,1,0,0,0.8577,1,1,1,1,0.3470
385,1,1,0,0,0.772,1,1,1,1,0.7610
386,1,1,0,0,0.7018,1,1,1,1,0.8373
387,1,1,0,0,0.7306,1,1,1,1,0.8596
388,1,1,0,0,0.754,1,1,1,1,0.8614
389,1,1,0,0,0.7014,1,1,1,1,0.8516
390,1,1,0,0,0.611,1,1,1,1,0.8225
391,1,1,0,0,0.5212,1,1,1,1,0.8968
392,1,1,0,0,0.4775,1,1,1,1,0.9713
393,1,1,0.0892,0.0637,0.5273,1,1,1,1,0.8157
394,1,1,0.2789,0.1992,0.4939,1,1,1,1,0.4500
395,1,1,0.301,0.215,0.4805,0.9332,1,1,1,0.2764
396,1,1,0.3158,0.2256,0.4512,0.835,1,1,1,0.2260
397,1,1,0.3836,0.274,0.4794,0.6993,1,1,1,0.2083
398,1,1,0.3821,0.2729,0.5121,0.4064,1,1,1,0.2654
399,1,1,0.3585,0.2561,0.633,0.5111,1,1,1,0.5766
400,1,1,0.2533,0.1809,0.7008,0.7721,1,1,1,0.8729
